time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer
5.03,FSM Enemy 13,FSM,PatrolState,None,1.00,35.4,0
5.03,FSM Enemy 4,FSM,PatrolState,None,0.90,58.6,0
5.03,FSM Enemy 6,FSM,PatrolState,None,0.80,54.3,0
5.03,FSM Enemy 7,FSM,Dead,None,0.00,11.7,0
5.03,FSM Enemy 3,FSM,PatrolState,None,0.90,79.5,0
5.03,FSM Enemy 5,FSM,PatrolState,None,1.00,63.3,0
5.03,FSM Enemy 8,FSM,PatrolState,None,1.00,47.0,0
5.03,FSM Enemy 9,FSM,PatrolState,None,1.00,31.7,0
5.03,FSM Enemy 11,FSM,PatrolState,None,0.90,26.6,0
5.03,FSM Enemy 2,FSM,PatrolState,None,1.00,100.8,0
5.03,FSM Enemy 10,FSM,PatrolState,None,1.00,68.4,0
5.03,FSM Enemy 1,FSM,PatrolState,None,1.00,84.9,0
5.03,FSM Enemy 14,FSM,PatrolState,None,1.00,92.1,0
5.03,Utility Enemy 9,Utility,AttackAction,None,1.00,60.1,0
5.03,Utility Enemy 10,Utility,AttackAction,None,1.00,46.3,0
5.03,Utility Enemy 12,Utility,AttackAction,None,1.00,49.7,0
5.03,Utility Enemy 6,Utility,AttackAction,None,1.00,25.9,0
5.03,Utility Enemy 1,Utility,AttackAction,None,1.00,82.2,0
5.03,Utility Enemy 7,Utility,AttackAction,None,1.00,58.2,0
5.03,Utility Enemy 11,Utility,SpreadFireAction,None,0.50,18.3,1
5.03,Utility Enemy 13,Utility,AttackAction,None,1.00,37.5,0
5.03,Utility Enemy 15,Utility,AttackAction,None,1.00,75.0,0
5.03,Utility Enemy 5,Utility,AttackAction,None,1.00,85.6,0
5.03,Utility Enemy 2,Utility,AttackAction,None,1.00,89.7,0
5.03,Utility Enemy 8,Utility,AttackAction,None,1.00,70.0,0
5.03,Utility Enemy 4,Utility,AttackAction,None,1.00,53.0,0
5.03,Utility Enemy 14,Utility,AttackAction,None,1.00,65.2,0
5.03,Utility Enemy 3,Utility,AttackAction,None,1.00,75.2,0
5.54,Player,Player,-,None,0.95,,0
5.54,FSM Enemy 12,FSM,PatrolState,None,1.00,57.0,0
5.54,FSM Enemy 15,FSM,PatrolState,None,1.00,16.8,0
5.54,FSM Enemy 13,FSM,PatrolState,None,1.00,32.2,0
5.54,FSM Enemy 4,FSM,PatrolState,None,0.90,60.6,0
5.54,FSM Enemy 6,FSM,PatrolState,None,0.80,56.8,0
5.54,FSM Enemy 7,FSM,Dead,None,0.00,8.8,0
5.54,FSM Enemy 3,FSM,PatrolState,None,0.90,81.2,0
5.54,FSM Enemy 5,FSM,PatrolState,None,1.00,62.7,0
5.54,FSM Enemy 8,FSM,PatrolState,None,1.00,47.4,0
